actual_label,behavior_probability,behavior_prediction,drift_score
0,0.00053210446,0,0.9983917083631165
0,0.00907368,0,0.8693709792709078
0,0.007926535,0,0.9715868477483917
0,0.0074506016,0,0.8270192994996426
0,0.22058637,0,0.9338813438170122
0,0.007582614,0,0.8947462473195139
0,1.1870558e-08,0,0.9994639027877055
0,0.002327904,0,0.8397069335239457
0,0.010430952,0,0.8364903502501787
0,0.013340868,0,0.7315939957112223
0,0.0038947044,0,0.6988920657612581
0,0.008375549,0,0.9815939957112223
0,0.003008737,0,0.9962473195139385
0,0.011660346,0,0.7600071479628306
0,0.017534887,0,0.5714796283059328
0,0.0033279015,0,0.8806290207290922
0,0.049876273,0,0.5214438884917798
0,0.006594236,0,0.833988563259471
0,0.01481049,0,0.6015010721944246
0,0.003206701,0,0.8573981415296641
0,0.019312842,0,0.7644746247319514
0,0.0022338966,0,0.9338813438170122
0,0.004954985,0,0.9010007147962831
0,0.00560951,0,0.8348820586132952
0,0.4316099,0,0.8740171551107935
0,0.011419572,0,0.6006075768406004
0,0.004143299,0,0.8289849892780558
0,0.0068752514,0,0.8007505360972123
0,0.024075614,0,0.7871694067190851
0,0.0022121808,0,0.9299499642601858
0,0.0034632785,0,0.8945675482487491
0,0.0037372075,0,0.8817012151536812
0,0.002743593,0,0.8931379556826304
0,0.0030224998,0,0.8486418870621872
0,0.0058763535,0,0.7828806290207291
0,0.017039325,0,0.6065046461758399
0,0.01980463,0,0.8245175125089349
0,0.008698981,0,0.8327376697641172
0,0.0012804547,0,0.9830235882773409
0,0.0021591287,0,0.9878484631879915
0,0.008205765,0,0.7725160829163689
0,0.0076683564,0,0.8189778413152251
0,0.004662353,0,0.9901715511079342
0,0.0036223496,0,0.9951751250893496
0,0.011354943,0,0.5634381701215153
0,0.009529982,0,0.8345246604717655
0,0.015850864,0,0.7533952823445318
0,0.009941562,0,0.807541100786276
0,0.021000681,0,0.9817726947819871
0,0.0023369186,0,0.9944603288062902
0,0.0026402264,0,0.9807005003573981
0,0.006525605,0,0.927626876340243
0,0.003147415,0,0.8656182987848463
0,0.0046822135,0,0.8548963545389564
0,0.00018494851,0,0.997855611150822
0,0.017955376,0,0.8325589706933524
0,0.007777776,0,0.9033238027162259
0,0.0032855833,0,0.8699070764832023
0,0.01147315,0,0.8332737669764118
0,0.014250552,0,0.7889563974267334
0,0.00024420556,0,0.9969621157969979
0,0.0028290653,0,0.884024303073624
0,0.0055376985,0,0.9354896354538956
0,0.01801752,0,0.5795210864903503
0,0.002132022,0,0.9719442458899213
0,0.003038803,0,0.9832022873481058
0,0.0009664094,0,0.993566833452466
0,0.016438983,0,0.5675482487491065
0,0.0039406833,0,0.8373838456040028
0,0.0043726936,0,0.7482130092923517
0,0.01853777,0,0.8970693352394568
0,0.0027025705,0,0.9655110793423874
0,0.011779875,0,0.8061115082201572
0,0.006777774,0,0.9145818441744102
0,0.015102545,0,0.9844531808434596
0,0.008361406,0,0.8750893495353824
0,0.0041091857,0,0.8736597569692638
0,0.004384796,0,0.8766976411722659
0,0.00476249,0,0.9256611865618298
0,0.008446576,0,0.7399928520371694
0,0.008934778,0,0.840421729807005
0,0.027041586,0,0.9724803431022159
0,0.010042931,0,0.9127948534667619
0,0.0034099757,0,0.7864546104360257
0,0.0014918185,0,0.9871336669049321
0,0.006703682,0,0.9974982130092923
0,0.0024241577,0,0.9578270192994996
0,0.005183558,0,0.9864188706218727
0,0.0043271524,0,0.916011436740529
0,0.041079417,0,0.8791994281629736
0,0.008792629,0,0.8943888491779842
0,2.909343e-05,0,0.9985704074338814
0,0.008963316,0,0.6342030021443888
0,0.0047437316,0,0.8443531093638313
0,0.006615079,0,0.9865975696926376
0,0.010526822,0,0.5604002859185132
0,0.0037230882,0,0.9837383845604003
0,0.0032352651,0,0.8759828448892065
0,0.008153349,0,0.7868120085775554
0,0.034789745,0,0.9161901358112938
0,0.008793435,0,0.9631879914224446
0,0.0052715437,0,0.9828448892065761
0,0.008451243,0,0.7791279485346676
0,0.0066300165,0,0.8263045032165832
0,0.005446394,0,0.97337383845604
0,0.0020198037,0,0.9392423159399571
0,0.0060778796,0,0.8522158684774839
0,0.008953596,0,0.9612223016440314
0,0.004977828,0,0.8645461043602574
0,0.0026470053,0,0.9324517512508935
0,0.005570667,0,0.865975696926376
0,0.003788041,0,0.9547891350964975
0,0.013194418,0,0.703180843459614
0,0.004503884,0,0.8997498213009293
0,0.004530115,0,0.6969263759828449
0,0.0084614465,0,0.8164760543245175
0,0.079042375,0,0.9942816297355254
0,0.0038440628,0,0.8187991422444604
0,0.017988395,0,0.6011436740528949
0,0.009665487,0,0.9101143674052895
0,0.008843809,0,0.6275911365260901
0,0.0008651372,0,0.9869549678341673
0,0.018135171,0,0.5066118656182987
0,0.034480356,0,0.612759113652609
0,0.013498733,0,0.6538598999285203
0,0.0037438145,0,0.9018942101501072
0,0.008490066,0,0.8402430307362402
0,0.0025985443,0,0.9628305932809149
0,0.0049664383,0,0.93084345961401
0,0.0045222812,0,0.7880629020729092
0,0.006541706,0,0.8663330950679057
0,0.0027694125,0,0.772337383845604
0,0.0040853387,0,0.8477483917083631
0,0.027231479,0,0.8811651179413867
0,0.0057612304,0,0.8141529664045747
